contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $1.5K Posterizer [Single Entry] (BOS vs PHI),82500,Showdown Captain Mode,154290653,150,1,1500,Wed 7:30PM,1,11,95946
NBA Showdown $2.5K And-One (BOS vs PHI),550,Showdown Captain Mode,154290658,1,20,2500,Wed 7:30PM,101,2972,95946
NBA Showdown $750 Sharpshooter (BOS vs PHI),1650,Showdown Captain Mode,154290657,3,8,750,Wed 7:30PM,9,297,95946
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,154290648,10,52,15000,Wed 7:30PM,2,1764,95945
NBA $3K High Five [Single Entry] (Turbo),2750,Classic,154290647,5,1,3000,Wed 7:30PM,5,713,95945
NBA $4K And-One (Turbo),550,Classic,154290650,1,20,4000,Wed 7:30PM,23,4756,95945
NBA $1.9K Posterizer [Single Entry] (Turbo),82500,Classic,154290644,150,1,1900,Wed 7:30PM,1,14,95945
NBA $1.5K Sharpshooter (Turbo),1650,Classic,154290649,3,17,1500,Wed 7:30PM,1,594,95945
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,154290664,10,52,15000,Wed 8:00PM,53,1764,95947
NBA $2K High Five [Single Entry]  (Turbo),2750,Classic,154290667,5,1,2000,Wed 8:00PM,5,475,95947
NBA $4K And-One (Turbo),550,Classic,154290666,1,20,4000,Wed 8:00PM,24,4756,95947
NBA $1.9K Posterizer [Single Entry] (Turbo),82500,Classic,154290662,150,1,1900,Wed 8:00PM,1,14,95947
NBA $1K Sharpshooter (Turbo),1650,Classic,154290665,3,11,1000,Wed 8:00PM,0,396,95947
NBA In-Game $4K All Star [Single Entry] (Must Fill) (4Q MEM vs LAL),583000,In-Game Showdown (Q4),154246407,1060,1,4000,Tue 11:50PM,0,4,95839
NBA In-Game $267 Winner Take All [$1K to 1st] (Must Fill) (4Q MEM vs LAL),146850,In-Game Showdown (Q4),154246408,267,1,1000,Tue 11:50PM,0,4,95839
NBA In-Game $400 Zone (4Q MEM vs LAL),2750,In-Game Showdown (Q4),154238968,5,2,400,Tue 11:50PM,7,95,95839
NBA In-Game $155 Pick and Roll [Single Entry] (4Q MEM vs LAL),6600,In-Game Showdown (Q4),154304708,12,1,155,Tue 11:50PM,1,15,95839
NBA In-Game $240 Fast Break [Single Entry] (4Q MEM vs LAL),14850,In-Game Showdown (Q4),154238965,27,1,240,Tue 11:50PM,0,10,95839
NBA Showdown $10K Pull Up Jumper [$2K to 1st] (MIN vs PHX),5500,Showdown Captain Mode,154290668,10,35,10000,Wed 9:00PM,42,1176,95948
NBA Showdown $1.5K Posterizer [Single Entry] (MIN vs PHX),82500,Showdown Captain Mode,154290673,150,1,1500,Wed 9:00PM,1,11,95948
NBA Showdown $1K High Five [Single Entry] (MIN vs PHX),2750,Showdown Captain Mode,154290671,5,1,1000,Wed 9:00PM,3,237,95948
NBA Showdown $2K And-One (MIN vs PHX),550,Showdown Captain Mode,154290670,1,20,2000,Wed 9:00PM,41,2378,95948
NBA Showdown $750 Sharpshooter (MIN vs PHX),1650,Showdown Captain Mode,154290675,3,8,750,Wed 9:00PM,9,297,95948
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,154290687,4,20,10000,Wed 10:00PM,4,2972,95949
NBA $11.35K Courtside Special [Single Entry] (Night),825000,Classic,154290681,1500,1,11350,Wed 10:00PM,1,8,95949
NBA $7.5K High Five [Single Entry] (Night),2750,Classic,154290680,5,1,7500,Wed 10:00PM,11,1783,95949
NBA $7K Showtime [2 Entry Max] (Night),55000,Classic,154290688,100,2,7000,Wed 10:00PM,2,77,95949
NBA $5K Pick and Roll [Single Entry] (Night),6600,Classic,154290677,12,1,5000,Wed 10:00PM,2,490,95949
NBA $5 Double Up,2750,Classic,154290596,5,27,4000,Wed 7:00PM,54,919,95941
NBA $5 Double Up,2750,Classic,154290597,5,20,3000,Wed 7:00PM,20,689,95941
NBA $25 Double Up,13750,Classic,154290622,25,8,6000,Wed 7:00PM,16,275,95941
