draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value,draftStatAttributes.sortValue.1,draftStatAttributes.id,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.value,draftStatAttributes.sortValue
95956,31092748,Cory,Joseph,Cory Joseph,C. Joseph,552805,33336,PG,464,,None,FALSE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33336.png,https://dkn.gs/sports/images/nba/players/160/33336.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,552805-5960972,,,19,219,219,19th,4.7,4.7
95956,31092778,Davis,Bertans,Davis Bertans,D. Bertans,599814,32867,PF,633,,None,FALSE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32867.png,https://dkn.gs/sports/images/nba/players/160/32867.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,25,OKC,599814-5960972,,,22,219,219,22nd,4.8,4.8
95956,31092634,Spencer,Dinwiddie,Spencer Dinwiddie,S. Dinwiddie,602411,32905,SG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32905.png,https://dkn.gs/sports/images/nba/players/160/32905.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,602411-5960144,,,7,219,219,7th,26.0,26.0
95956,31092685,Josh,Richardson,Josh Richardson,J. Richardson,604288,33293,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33293.png,https://dkn.gs/sports/images/nba/players/160/33293.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,14,MIA,604288-5960144,,,26,219,219,26th,16.0,16.0
95956,31092682,Royce,O'Neale,Royce O'Neale,R. O'Neale,604479,32840,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32840.png,https://dkn.gs/sports/images/nba/players/160/32840.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,604479-5960144,,,10,219,219,10th,24.8,24.8
95956,31092673,Dorian,Finney-Smith,Dorian Finney-Smith,D. Finney-Smith,606701,33001,PF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33001.png,https://dkn.gs/sports/images/nba/players/160/33001.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,606701-5960144,,,24,219,219,24th,23.7,23.7
95956,31092679,Andrew,Wiggins,Andrew Wiggins,A. Wiggins,794503,33191,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33191.png,https://dkn.gs/sports/images/nba/players/160/33191.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,794503-5960972,,,13,219,219,13th,17.9,17.9
95956,31092676,Dario,Saric,Dario Saric,D. Saric,830641,33306,C,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33306.png,https://dkn.gs/sports/images/nba/players/160/33306.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,830641-5960972,,,15,219,219,15th,22.5,22.5
95956,31092739,Vasilije,Micic,Vasilije Micic,V. Micic,830652,36623,PG,464,,None,FALSE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/36623.png,https://dkn.gs/sports/images/nba/players/160/36623.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,25,OKC,830652-5960972,,,2,219,219,2nd,9.5,9.5
95956,31092712,Caleb,Martin,Caleb Martin,C. Martin,842969,32956,SG,464,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32956.png,https://dkn.gs/sports/images/nba/players/160/32956.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,14,MIA,842969-5960144,,,12,219,219,12th,9.3,9.3
95956,31092655,Cameron,Johnson,Cameron Johnson,C. Johnson,843005,33316,PF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33316.png,https://dkn.gs/sports/images/nba/players/160/33316.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,843005-5960144,,,24,219,219,24th,25.8,25.8
95956,31092715,Kenrich,Williams,Kenrich Williams,K. Williams,843742,33221,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33221.png,https://dkn.gs/sports/images/nba/players/160/33221.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,25,OKC,843742-5960972,,,3,219,219,3rd,12.0,12.0
95956,31092622,Mikal,Bridges,Mikal Bridges,M. Bridges,846400,33313,SF,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33313.png,https://dkn.gs/sports/images/nba/players/160/33313.png,"","",5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,5960144,BKN @ MIA,BKN, @ ,MIA,TRUE,2023-11-17T00:30:00.0000000Z,17,BKN,846400-5960144,,,10,219,219,10th,36.7,36.7
95956,31092724,Gary,Payton II,Gary Payton II,G. Payton II,846407,116047,SF,633,,None,FALSE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/116047.png,https://dkn.gs/sports/images/nba/players/160/116047.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,846407-5960972,,,13,219,219,13th,14.9,14.9
95956,31092670,Kevon,Looney,Kevon Looney,K. Looney,846499,33056,C,633,,None,FALSE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33056.png,https://dkn.gs/sports/images/nba/players/160/33056.png,"","",5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,5960972,OKC @ GSW,OKC, @ ,GSW,TRUE,2023-11-17T03:00:00.0000000Z,9,GSW,846499-5960972,,,15,219,219,15th,23.1,23.1
