nba_id,player_name,gametime,pos,opp,sal,proj,l3,l5,ceil,lopp,opp_rank,pts,ast,reb,current_time
191656012,Josh Green,9:00 PM EST vs NOP,SF,NOP,$3.5K,13.7,14.4,16.6,20.9,25,27,6.3,1.7,1.8,"Wed, November 15th at 1:56 AM EST"
268195045,Jaylin Williams,8:30 PM EST @ SAS,C,SAS,$3.5K,13.2,11.6,14.8,19.9,28.75,18,4.9,1.1,4,"Wed, November 15th at 1:56 AM EST"
243784063,Dru Smith,8:00 PM EST vs CHA,PG,CHA,$4.4K,13.1,19.1,11.9,19.3,0,28,5,1.8,1.7,"Wed, November 15th at 1:56 AM EST"
119268648,Nickeil Alexander-Walker,11:00 PM EST vs GSW,PG,GSW,$3.5K,12.9,17.9,14.3,22,19,14,3.9,2.3,1.9,"Wed, November 15th at 1:56 AM EST"
758729639,Cason Wallace,8:30 PM EST @ SAS,PG,SAS,$4.2K,12.9,15.8,14.7,17.8,0,29,6.7,1.3,2,"Wed, November 15th at 1:56 AM EST"
300632125,Simone Fontecchio,10:00 PM EST @ POR,SF,POR,$3.4K,12.7,8.8,14.2,19.9,9.75,13,6.5,0.6,2.5,"Wed, November 15th at 1:56 AM EST"
65830638,Cory Joseph,11:00 PM EST @ MIN,PG,MIN,$3.1K,12.5,6.9,15.8,19.6,27.5,6,3,3,2,"Wed, November 15th at 1:56 AM EST"
276117178,Jaden Hardy,9:00 PM EST vs NOP,PG,NOP,$3.2K,12.5,13.1,15.7,22.2,13,27,7.8,1.2,1.7,"Wed, November 15th at 1:56 AM EST"
215262998,Day'Ron Sharpe,8:30 PM EST @ ORL,C,ORL,$4.5K,12.4,18,16.7,20,8,6,4.8,0.4,4.5,"Wed, November 15th at 1:56 AM EST"
270004036,Bryce McGowens,8:00 PM EST @ MIA,SG,MIA,$3.5K,12.3,11.3,16.9,19,0,20,3.8,1.1,3.8,"Wed, November 15th at 1:56 AM EST"
65310813,T.J. McConnell,8:00 PM EST vs PHI,PG,PHI,$4.4K,12.2,18.1,24.1,20.8,19.5,15,4.9,2.3,1.7,"Wed, November 15th at 1:56 AM EST"
263079967,Matt Ryan,9:00 PM EST @ DAL,SG,DAL,$4.0K,12.1,15.1,16,17.6,26.5,10,7,0.9,1.8,"Wed, November 15th at 1:56 AM EST"
64035509,Patrick Beverley,8:00 PM EST @ IND,PG,IND,$3.6K,12.1,10.8,12.3,19.6,9.5,20,2.4,2.1,3.3,"Wed, November 15th at 1:56 AM EST"
372215493,Jamaree Bouyea,10:00 PM EST vs UTA,PG,UTA,$3.3K,11.6,10.3,0,18.6,0,28,4.5,2.2,3,"Wed, November 15th at 1:56 AM EST"
837472730,Duop Reath,10:00 PM EST vs UTA,C,UTA,$3.5K,11.5,0,0,0,0,21,5.6,1.5,1.5,"Wed, November 15th at 1:56 AM EST"
191545116,James Wiseman,8:00 PM EST @ ATL,C,ATL,$3.3K,11.2,12.3,16.2,18.6,11.75,11,4.8,0.3,3.3,"Wed, November 15th at 1:56 AM EST"
215159033,Moses Moody,11:00 PM EST @ MIN,SG,MIN,$3.6K,11.2,12.8,14.4,17.8,5.25,6,5,0.8,2.1,"Wed, November 15th at 1:56 AM EST"
269172316,AJ Griffin,8:00 PM EST vs DET,SG,DET,$3.0K,10.9,5.3,9.7,17.2,15,12,6.3,0.7,1.7,"Wed, November 15th at 1:56 AM EST"
215283791,Jeremiah Robinson-Earl,9:00 PM EST @ DAL,PF,DAL,$3.9K,10.7,15.4,13.4,17.1,23,10,5.4,0.4,3,"Wed, November 15th at 1:56 AM EST"
770900475,Julian Strawther,11:00 PM EST @ LAC,SG,LAC,$3.0K,10.3,9.5,0,16.8,0,27,6.4,0.6,1.1,"Wed, November 15th at 1:56 AM EST"
192030286,Zeke Nnaji,11:00 PM EST @ LAC,C,LAC,$3.8K,10.3,5.8,8.5,16.3,19.75,8,3.9,0.6,2.8,"Wed, November 15th at 1:56 AM EST"
