draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value
60093,20455565,Moses,Brown,Moses Brown,M. Brown,1134769,58893,C,462,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/58893.png,https://dkn.gs/sports/images/nba/players/160/58893.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,219,3.4,3.4,-2,10th,10,Medium,6,DAL,1134769-5772309,,
60093,20455278,Jared,Butler,Jared Butler,J. Butler,1134886,591045,PG,458,3200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/591045.png,https://dkn.gs/sports/images/nba/players/160/591045.png,"","",5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,219,4.1,4.1,-2,16th,16,Medium,26,UTA,1134886-5774169,,
60093,20455757,Filip,Petrusev,Filip Petrusev,F. Petrusev,1134995,591054,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32947.png,https://dkn.gs/sports/images/nba/teams/160/32947.png,"","",5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,-2,1st,1,219,-,"",Low,20,PHI,1134995-5770791,,
60093,20455378,Kessler,Edwards,Kessler Edwards,K. Edwards,1135006,591048,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591048.png,https://dkn.gs/sports/images/nba/players/160/591048.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,219,6.1,6.1,-2,20th,20,Medium,17,BKN,1135006-5771223,,
60093,20454731,Kevin,Porter Jr.,Kevin Porter Jr.,K. Porter Jr.,1135158,32991,PG,458,7700,Q,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32991.png,https://dkn.gs/sports/images/nba/players/160/32991.png,"","",5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,219,30.1,30.1,-2,22nd,22,High,10,HOU,1135158-5773029,,
60093,20455958,Jason,Preston,Jason Preston,J. Preston,1137126,591038,PG,458,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591038.png,https://dkn.gs/sports/images/nba/players/160/591038.png,"","",5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,-2,30th,30,219,-,"",High,12,LAC,1137126-5773881,,
60093,20455182,Naz,Reid,Naz Reid,N. Reid,1137200,33206,PF/C,461,3300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33206.png,https://dkn.gs/sports/images/nba/players/160/33206.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,219,17.2,17.2,-2,17th,17,Medium,16,MIN,1137200-5771223,,
60093,20455490,AJ,Lawson,AJ Lawson,A. Lawson,1137214,591149,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591149.png,https://dkn.gs/sports/images/nba/players/160/591149.png,"","",5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,-2,27th,27,219,-,"",High,1,ATL,1137214-5770791,,
60093,20455410,Romeo,Langford,Romeo Langford,R. Langford,1138654,32884,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32884.png,https://dkn.gs/sports/images/nba/players/160/32884.png,"","",5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,219,10.7,10.7,-2,1st,1,Low,2,BOS,1138654-5774169,,
60093,20455761,Charles,Bassey,Charles Bassey,C. Bassey,1138669,591057,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591057.png,https://dkn.gs/sports/images/nba/players/160/591057.png,"","",5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,219,8.3,8.3,-2,22nd,22,High,20,PHI,1138669-5770791,,
60093,20455672,Trevelin,Queen,Trevelin Queen,T. Queen,1138673,536164,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/536164.png,https://dkn.gs/sports/images/nba/players/160/536164.png,"","",5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,-2,4th,4,219,-,"",Low,13,LAL,1138673-5773881,,
60093,20455859,Jaxson,Hayes,Jaxson Hayes,J. Hayes,1140887,33224,C,462,3000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33224.png,https://dkn.gs/sports/images/nba/players/160/33224.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,219,11.9,11.9,-2,28th,28,High,3,NOP,1140887-5772309,,
60093,20455315,Alen,Smailagic,Alen Smailagic,A. Smailagic,1148770,33062,PF,461,3100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33062.png,https://dkn.gs/sports/images/nba/players/160/33062.png,"","",5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,-2,30th,30,219,-,"",High,9,GSW,1148770-5772615,,
60093,20455914,Brodric,Thomas,Brodric Thomas,B. Thomas,1152470,529965,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/529965.png,https://dkn.gs/sports/images/nba/players/160/529965.png,"","",5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,5774169,BOS @ UTA,BOS, @ ,UTA,TRUE,2021-12-04T02:00:00.0000000Z,219,0.4,0.4,-2,9th,9,Low,2,BOS,1152470-5774169,,
60093,20455695,Sekou,Doumbouya,Sekou Doumbouya,S. Doumbouya,1172131,33046,SF,460,3000,Q,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33046.png,https://dkn.gs/sports/images/nba/players/160/33046.png,"","",5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,5773881,LAC @ LAL,LAC, @ ,LAL,TRUE,2021-12-04T03:00:00.0000000Z,219,15.5,15.5,-2,7th,7,Low,13,LAL,1172131-5773881,,
60093,20455436,Goga,Bitadze,Goga Bitadze,G. Bitadze,1172132,33097,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33097.png,https://dkn.gs/sports/images/nba/players/160/33097.png,"","",5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,5773791,MIA @ IND,MIA, @ ,IND,TRUE,2021-12-04T00:00:00.0000000Z,219,8.2,8.2,-2,4th,4,Low,11,IND,1172132-5773791,,
60093,20455884,Didi,Louzada,Didi Louzada,D. Louzada,1172136,33226,SG,459,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33226.png,https://dkn.gs/sports/images/nba/players/160/33226.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,219,2.0,2.0,-2,8th,8,Low,3,NOP,1172136-5772309,,
60093,20455881,Daulton,Hommes,Daulton Hommes,D. Hommes,1173024,58953,PF,461,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/58953.png,https://dkn.gs/sports/images/nba/players/160/58953.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,-2,14th,14,219,-,"",Medium,3,NOP,1173024-5772309,,
60093,20455019,James,Wiseman,James Wiseman,J. Wiseman,1175120,527215,C,462,4200,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/527215.png,https://dkn.gs/sports/images/nba/players/160/527215.png,"","",5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,5772615,PHX @ GSW,PHX, @ ,GSW,TRUE,2021-12-04T03:00:00.0000000Z,-2,3rd,3,219,-,"",Low,9,GSW,1175120-5772615,,
60093,20454701,Anthony,Edwards,Anthony Edwards,A. Edwards,1175367,509114,SG/SF,459,8500,Q,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/509114.png,https://dkn.gs/sports/images/nba/players/160/509114.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,219,40.1,40.1,-2,9th,9,Low,16,MIN,1175367-5771223,,
60093,20455583,Tyrell,Terry,Tyrell Terry,T. Terry,1176568,527238,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527238.png,https://dkn.gs/sports/images/nba/players/160/527238.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,-2,6th,6,219,-,"",Low,6,DAL,1176568-5772309,,
60093,20455231,Jaden,McDaniels,Jaden McDaniels,J. McDaniels,1177013,527235,SF/PF,460,3200,Q,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/527235.png,https://dkn.gs/sports/images/nba/players/160/527235.png,"","",5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,5771223,MIN @ BKN,MIN, @ ,BKN,TRUE,2021-12-04T00:30:00.0000000Z,219,16.0,16.0,-2,27th,27,High,16,MIN,1177013-5771223,,
60093,20454822,Franz,Wagner,Franz Wagner,F. Wagner,1178131,591008,SF/PF,460,5800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/591008.png,https://dkn.gs/sports/images/nba/players/160/591008.png,"","",5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,219,25.9,25.9,-2,27th,27,High,19,ORL,1178131-5773029,,
60093,20455394,Nicolo,Melli,Nicolo Melli,N. Melli,1178793,33228,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33228.png,https://dkn.gs/sports/images/nba/players/160/33228.png,"","",5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,5772309,NOP @ DAL,NOP, @ ,DAL,TRUE,2021-12-04T01:30:00.0000000Z,-2,3rd,3,219,-,"",Low,6,DAL,1178793-5772309,,
60093,20455500,Onyeka,Okongwu,Onyeka Okongwu,O. Okongwu,1185367,481752,PF/C,461,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/481752.png,https://dkn.gs/sports/images/nba/players/160/481752.png,"","",5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,5770791,PHI @ ATL,PHI, @ ,ATL,TRUE,2021-12-04T00:30:00.0000000Z,-2,24th,24,219,-,"",High,1,ATL,1185367-5770791,,
60093,20454711,Cole,Anthony,Cole Anthony,C. Anthony,1185943,527225,PG,458,8200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/527225.png,https://dkn.gs/sports/images/nba/players/160/527225.png,"","",5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,5773029,ORL @ HOU,ORL, @ ,HOU,TRUE,2021-12-04T01:00:00.0000000Z,219,40.2,40.2,-2,25th,25,High,19,ORL,1185943-5773029,,
