draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority
57068,19600037,Paul,Millsap,Paul Millsap,P. Millsap,237675,33013,PF/C,461,3800,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33013.png,https://dkn.gs/sports/images/nba/players/160/33013.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,19.9,19.9,-2,2nd,2,Low,,,17,BKN,237675-5770380,,,,
57068,19599990,Dwight,Howard,Dwight Howard,D. Howard,253975,33115,C,462,4900,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33115.png,https://dkn.gs/sports/images/nba/players/160/33115.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,20.0,20.0,-2,15th,15,Medium,,,13,LAL,253975-5770386,,,,
57068,19600056,Rajon,Rondo,Rajon Rondo,R. Rondo,262882,33116,PG,458,3700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33116.png,https://dkn.gs/sports/images/nba/players/160/33116.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,16.0,16.0,-2,8th,8,Low,,,13,LAL,262882-5770386,,,,
57068,19600028,LaMarcus,Aldridge,LaMarcus Aldridge,L. Aldridge,266554,33354,C,462,3900,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33354.png,https://dkn.gs/sports/images/nba/players/160/33354.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,25.3,25.3,-2,9th,9,Low,,,17,BKN,266554-5770380,,,,
57068,19600030,George,Hill,George Hill,G. Hill,277552,33173,PG/SG,458,3900,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33173.png,https://dkn.gs/sports/images/nba/players/160/33173.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,14.9,14.9,-2,3rd,3,Low,,,15,MIL,277552-5770380,,,,
57068,19599927,Kevin,Durant,Kevin Durant,K. Durant,329525,32896,SF/PF,460,9900,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32896.png,https://dkn.gs/sports/images/nba/players/160/32896.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,50.9,50.9,-2,24th,24,High,,,17,BKN,329525-5770380,,,,
57068,19600000,Wayne,Ellington,Wayne Ellington,W. Ellington,329670,33230,SG,459,4400,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33230.png,https://dkn.gs/sports/images/nba/players/160/33230.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,16.2,16.2,-2,16th,16,Medium,,,13,LAL,329670-5770386,,,,
57068,19599946,Russell,Westbrook,Russell Westbrook,R. Westbrook,329830,33068,PG,458,8600,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33068.png,https://dkn.gs/sports/images/nba/players/160/33068.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,58.4,58.4,-2,8th,8,Low,,,13,LAL,329830-5770386,,,,
57068,19599971,Brook,Lopez,Brook Lopez,B. Lopez,330047,33171,C,462,5900,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33171.png,https://dkn.gs/sports/images/nba/players/160/33171.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,24.2,24.2,-2,18th,18,Medium,100,true,15,MIL,330047-5770380,,,,
57068,19599931,Stephen,Curry,Stephen Curry,S. Curry,338365,33049,PG,458,9400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33049.png,https://dkn.gs/sports/images/nba/players/160/33049.png,"","",5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,5770386,GSW @ LAL,GSW, @ ,LAL,TRUE,2021-10-20T02:00:00.0000000Z,219,51.4,51.4,-2,12th,12,Medium,100,true,9,GSW,338365-5770386,,,,
57068,19600159,Elijah,Millsap,Elijah Millsap,E. Millsap,338887,69852,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/69852.png,https://dkn.gs/sports/images/nba/players/160/69852.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,-2,7th,7,219,-,"",Low,,,17,BKN,338887-5770380,,,,
57068,19599934,James,Harden,James Harden,J. Harden,395388,33070,PG/SG,458,9300,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33070.png,https://dkn.gs/sports/images/nba/players/160/33070.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,54.3,54.3,-2,7th,7,Low,,,17,BKN,395388-5770380,,,,
57068,19600086,James,Johnson,James Johnson,J. Johnson,398037,33154,PF,461,3400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33154.png,https://dkn.gs/sports/images/nba/players/160/33154.png,"","",5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,5770380,BKN @ MIL,BKN, @ ,MIL,TRUE,2021-10-19T23:30:00.0000000Z,219,17.5,17.5,-2,2nd,2,Low,,,17,BKN,398037-5770380,,,,
