abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
D. Avdija,Deni Avdija,SF/PF,DAL,29.1,"$5,700",5.1,29.07,12.7,7.2,3.5,1.0,0.4,1.7,1.1
I. Quickley,Immanuel Quickley,SG/PG,NY,28.8,"$5,500",5.24,30.05,16.3,4.1,3.6,1.0,0.2,1.4,2.3
D. Lively,Dereck Lively,C,DAL,28.4,"$5,600",5.08,27.49,10.4,8.9,1.9,0.8,1.2,1.5,0.3
C. White,Coby White,PG,ORL,27.9,"$5,400",5.17,32.28,15.1,3.7,4.4,1.0,0.1,1.5,2.2
B. Coulibaly,Bilal Coulibaly,SF,DAL,27.8,"$5,200",5.35,30.08,13.4,4.9,2.5,1.0,1.1,1.5,1.4
C. Capela,Clint Capela,C,NY,27.8,"$6,100",4.56,25.20,9.4,10.2,0.9,0.7,1.2,0.9,0.0
A. Horford,Al Horford,C,BOS,27.8,"$4,800",5.78,33.41,10.3,7.3,3.0,0.7,1.0,0.9,2.2
J. Allen,Jarrett Allen,C/PF,CLE,27.6,"$6,200",4.45,26.73,11.4,8.1,1.6,0.7,1.1,1.3,0.0
K. Murray,Keegan Murray,SF/PF,SAC,27.6,"$6,800",4.06,33.49,15.0,5.5,1.4,0.9,0.7,0.9,2.9
S. Hauser,Sam Hauser,SF,BOS,27.1,"$4,200",6.45,32.39,14.8,5.5,1.6,0.8,0.6,0.9,3.1
J. Suggs,Jalen Suggs,SG/PG,ORL,25.9,"$6,200",4.18,27.60,11.5,4,3.8,1.4,0.6,2.1,1.4
M. Conley,Mike Conley,PG,MIN,25.9,"$5,300",4.88,29.28,11.0,2.6,6.1,1.1,0.2,1.3,1.9
M. Strus,Max Strus,SG/SF,CLE,25.9,"$5,800",4.46,35.29,14.2,4.3,3.0,0.8,0.3,1.3,2.9
A. Reaves,Austin Reaves,SF/SG,SAC,25.7,"$6,000",4.28,33.55,13.8,3.7,3.9,0.8,0.3,1.7,1.6
C. Anthony,Cole Anthony,PG/SG,ORL,25.7,"$5,200",4.94,24.44,12.2,4.6,3.9,0.7,0.5,1.5,1.3
G. Bitadze,Goga Bitadze,C,ORL,25.6,"$4,600",5.57,22.41,8.9,7.2,2.0,0.7,1.4,1.2,0.3
M. Monk,Malik Monk,SG/PG,SAC,25.5,"$5,700",4.47,25.05,14.3,3.1,4.1,0.7,0.4,2.0,2.2
K. Middleton,Khris Middleton,SG/SF,MIL,24.5,"$5,400",4.53,22.08,12.6,3.8,4.2,0.7,0.2,1.7,1.2
J. Hart,Josh Hart,SG/SF,NY,24.4,"$5,300",4.59,28.90,9.4,6.5,3.3,1.0,0.2,1.4,0.8
N. Reid,Naz Reid,C/PF,MIN,23.6,"$5,600",4.21,22.92,11.2,5.8,1.4,0.7,0.9,1.5,1.3
O. Okongwu,Onyeka Okongwu,C,NY,23.1,"$5,800",3.98,22.13,8.9,6.8,1.1,0.6,1.2,1.0,0.1
D. Jones Jr.,Derrick Jones Jr.,SF,DAL,23.1,"$4,500",5.13,29.47,10.1,4.9,1.4,0.9,1.1,1.0,1.3
M. Wagner,Moritz Wagner,C,ORL,23.0,"$5,100",4.51,22.41,11.7,5.6,1.8,0.7,0.4,1.4,1.0
G. Allen,Grayson Allen,SG/SF,MIN,22.9,"$4,700",4.88,33.07,11.5,4.1,2.8,1.0,0.2,1.3,2.2
J. McDaniels,Jaden McDaniels,SF/PF,MIN,22.5,"$4,600",4.88,29.90,11.1,3.8,1.8,0.9,0.9,1.3,1.3
D. Hunter,De'Andre Hunter,SF/PF,NY,22.4,"$5,000",4.48,30.20,13.9,4.1,1.4,0.6,0.3,1.2,1.6
P. Williams,Patrick Williams,SF/PF,ORL,22.3,"$4,300",5.18,30.26,10.6,4.2,1.5,1.0,0.9,1.3,1.4
S. Bey,Saddiq Bey,SF,NY,22.3,"$4,900",4.54,25.98,12.5,4.5,1.5,0.8,0.2,0.9,1.9
K. Huerter,Kevin Huerter,SG/SF,SAC,22.2,"$5,500",4.04,25.05,12.4,3.1,2.4,0.9,0.3,1.1,2.4
B. Bogdanovic,Bogdan Bogdanovic,SF/SG,NY,22.2,"$5,900",3.76,25.08,12.6,2.8,2.7,0.8,0.3,1.1,2.6
Q. Grimes,Quentin Grimes,SG/SF,NY,22.1,"$3,900",5.66,31.09,12.6,3.2,2.1,0.8,0.4,1.1,2.5
K. Anderson,Kyle Anderson,SF/PF,MIN,21.6,"$5,000",4.32,24.91,6.4,4.4,4.0,1.0,0.7,1.2,0.5
T. Camara,Toumani Camara,SF/PF,CLE,21.5,"$3,900",5.52,29.09,8.8,5.3,1.9,0.9,0.7,1.3,1.2
G. Dick,Gradey Dick,SG/SF,MIL,21.5,"$3,700",5.81,27.80,11.4,3.4,2.6,0.9,0.2,1.2,1.9
G. Williams,Grant Williams,PF,DAL,21.4,"$4,500",4.76,27.36,10.5,4.9,1.9,0.6,0.5,1.1,2.0
D. DiVincenzo,Donte DiVincenzo,SG/SF,NY,21.3,"$4,000",5.33,23.83,9.5,3.9,2.9,1.2,0.2,1.4,2.0
J. Green,Josh Green,SG,DAL,20.7,"$4,300",4.82,31.72,10.6,3.8,2.5,1.0,0.1,1.5,1.8
T. Craig,Torrey Craig,SF,ORL,20.7,"$4,200",4.92,26.23,8.0,5.4,1.8,0.7,0.8,1.0,1.3
A. Caruso,Alex Caruso,PG/SG,ORL,20.2,"$4,900",4.11,24.16,6.5,3,3.3,1.4,0.7,1.2,0.9
E. Gordon,Eric Gordon,SG,MIN,20.0,"$5,100",3.93,29.06,11.5,2.1,2.8,0.7,0.4,1.5,1.8
C. Boucher,Chris Boucher,C/PF,MIL,20.0,"$4,100",4.88,20.37,9.0,5.3,0.5,0.7,0.8,0.6,0.9
H. Barnes,Harrison Barnes,SF/PF,SAC,20.0,"$4,400",4.54,32.82,10.5,4.3,1.6,0.8,0.2,1.1,1.4
P. Pritchard,Payton Pritchard,PG,BOS,19.8,"$4,000",4.94,26.32,10.0,3.8,3.0,0.7,0.1,1.7,1.8
R. Hachimura,Rui Hachimura,PF/SF,SAC,19.6,"$5,600",3.51,24.52,10.6,4.7,1.0,0.5,0.4,0.8,0.9
D. Exum,Dante Exum,PG,DAL,19.5,"$3,700",5.28,19.03,9.6,2.9,3.1,0.7,0.3,1.2,1.2
C. Reddish,Cam Reddish,SG/SF,SAC,19.3,"$5,200",3.72,28.61,10.0,2.9,1.7,1.1,0.4,1.2,1.2
A. Black,Anthony Black,PG,ORL,19.2,"$4,300",4.47,26.57,8.5,3.7,2.6,0.8,0.4,1.2,1.5
P. Connaughton,Pat Connaughton,SF/SG,MIL,18.9,"$4,300",4.4,27.09,8.3,5,1.6,0.8,0.2,0.8,1.7
P. Achiuwa,Precious Achiuwa,PF/C,MIL,18.9,"$4,300",4.39,20.34,8.3,5.6,1.1,0.6,0.5,1.1,0.6
R. Covington,Robert Covington,PF/SF,BOS,18.5,"$4,800",3.85,20.11,6.7,4.2,1.7,0.9,0.8,0.9,1.2
M. Thybulle,Matisse Thybulle,SF,CLE,18.3,"$4,300",4.25,28.05,6.1,3.3,1.4,1.6,0.7,0.8,1.0
I. Hartenstein,Isaiah Hartenstein,PF/C,NY,18.1,"$4,400",4.12,19.69,5.7,6.1,1.2,0.7,0.7,0.9,0.1
M. Beasley,Malik Beasley,SF/SG,MIL,18.0,"$4,300",4.17,26.34,9.4,3.5,1.7,0.9,0.1,1.2,2.5
D. Gallinari,Danilo Gallinari,SF/PF,DAL,17.7,"$4,200",4.21,18.06,9.6,3.4,1.6,0.6,0.2,0.8,0.8
P. Beverley,Patrick Beverley,PG,BOS,17.5,"$3,800",4.61,25.08,5.6,3.5,3.0,0.8,0.6,1.0,1.0
C. Kispert,Corey Kispert,SF,DAL,17.1,"$4,200",4.08,24.06,11.0,2.7,1.2,0.5,0.1,0.7,2.0
D. Eubanks,Drew Eubanks,C/PF,MIN,16.8,"$4,700",3.58,17.72,5.4,4.7,1.2,0.5,1.1,0.8,0.1
C. Wood,Christian Wood,PF/C,SAC,16.2,"$5,000",3.25,14.32,7.9,4.2,1.0,0.3,0.6,0.9,0.8
A. Drummond,Andre Drummond,C,ORL,16.2,"$4,500",3.6,13.11,6.0,6.1,0.6,0.6,0.4,1.0,0.0
J. Hardy,Jaden Hardy,SG,DAL,16.2,"$4,000",4.05,16.32,10.2,2.2,1.7,0.4,0.2,1.0,1.7
T. Prince,Taurean Prince,SF/PF,SAC,16.1,"$4,500",3.58,23.53,9.0,2.6,1.6,0.6,0.3,1.1,1.4
A. Dosunmu,Ayo Dosunmu,PG/SG,ORL,16.0,"$3,800",4.21,22.19,7.6,2.3,2.5,0.7,0.3,1.1,0.7
D. Powell,Dwight Powell,C,DAL,15.9,"$4,300",3.69,18.84,7.1,4.1,1.1,0.6,0.4,0.8,0.1
J. Ingles,Joe Ingles,SG/SF,ORL,15.4,"$3,800",4.06,20.31,6.4,2.7,3.0,0.7,0.1,1.1,1.5
C. Porter,Craig Porter Jr.,PG,CLE,15.2,"$3,700",4.12,16.13,7.2,2.2,2.6,0.7,0.2,1.2,0.7
J. Walker,Jabari Walker,SF,CLE,15.1,"$3,900",3.87,17.66,7.0,4,1.0,0.5,0.4,0.9,0.5
K. Bates-Diop,Keita Bates-Diop,PF,MIN,15.0,"$4,400",3.41,18.63,7.2,3.2,1.3,0.6,0.3,0.7,0.7
T. Lyles,Trey Lyles,PF,SAC,14.9,"$4,000",3.73,16.03,7.0,4,0.8,0.4,0.5,0.8,1.1
L. Shamet,Landry Shamet,SG,DAL,14.6,"$3,900",3.73,16.04,8.0,1.5,2.3,0.6,0.1,0.8,1.5
J. Goodwin,Jordan Goodwin,PG,MIN,14.2,"$4,600",3.09,15.03,5.2,2.8,2.3,0.7,0.3,0.8,0.5
N. Alexander-Walker,Nickeil Alexander-Walker,SG/SF,MIN,14.2,"$4,100",3.46,17.94,6.8,2,2.0,0.6,0.4,1.0,1.1
M. Beauchamp,MarJon Beauchamp,SF,MIL,14.1,"$4,100",3.43,20.08,7.5,3.1,1.1,0.6,0.2,1.2,1.2
C. Payne,Cameron Payne,PG/SG,MIL,14.0,"$4,400",3.18,15.05,6.8,1.6,3.1,0.5,0.1,1.2,0.9
G. Niang,Georges Niang,PF,CLE,13.8,"$3,800",3.63,19.30,7.8,2.7,1.1,0.4,0.2,0.7,1.8
L. Kornet,Luke Kornet,PF,BOS,13.5,"$3,800",3.56,15.18,4.7,3.9,0.9,0.3,0.8,0.5,0.1
A. Jackson,Andre Jackson Jr.,SG,MIL,13.1,"$3,500",3.73,15.06,6.3,2.3,1.8,0.5,0.2,0.8,0.8
M. Morris,Marcus Morris,PF/SF,BOS,12.8,"$3,700",3.46,18.13,6.4,2.7,1.3,0.4,0.2,0.6,1.0
P. Reed,Paul Reed,C,BOS,12.8,"$5,000",2.55,12.13,3.8,4.3,0.6,0.5,0.7,0.7,0.1
A. Vezenkov,Aleksandar Vezenkov,PF,SAC,12.6,"$3,800",3.3,14.03,5.8,3,0.7,0.4,0.5,0.6,0.8
O. Porter,Otto Porter,SF,MIL,12.5,"$3,700",3.39,15.89,6.2,2.4,1.1,0.6,0.2,0.6,1.0
J. Okogie,Josh Okogie,SF/SG,MIN,12.3,"$4,300",2.86,14.77,5.1,2.7,1.1,0.6,0.4,0.7,0.6
G. Harris,Gary Harris,SG,ORL,11.8,"$3,700",3.2,17.31,6.4,1.7,1.0,0.6,0.2,0.5,1.4
D. Wade,Dean Wade,PF/SF,CLE,11.2,"$3,700",3.02,16.13,4.3,2.8,0.8,0.5,0.4,0.4,0.8
J. Carter,Jevon Carter,PG/SG,ORL,11.1,"$3,900",2.83,14.12,5.3,1.5,1.7,0.5,0.2,0.7,1.1
D. House Jr.,Danuel House Jr.,SF,BOS,11.0,"$3,600",3.06,17.81,5.4,2.4,1.1,0.4,0.2,0.7,0.7
S. Milton,Shake Milton,PG,MIN,10.6,"$3,900",2.72,13.95,5.3,1.6,2.0,0.3,0.1,0.8,0.5
S. Merrill,Sam Merrill,PG,CLE,10.6,"$3,500",3.03,12.10,5.4,1.7,1.3,0.5,0.1,0.6,0.9
K. Ellis,Keon Ellis,SG,SAC,10.5,"$3,800",2.76,12.02,5.6,1.5,1.0,0.5,0.2,0.5,1.1
T. Antetokounmpo,Thanasis Antetokounmpo,SF/PF,MIL,10.4,"$3,500",2.97,14.11,4.5,2.7,1.1,0.4,0.2,0.8,0.2
J. Bouyea,Jamaree Bouyea,PG,CLE,10.1,"$3,600",2.8,11.14,5.0,1.4,1.6,0.4,0.2,0.8,0.5
Y. Watanabe,Yuta Watanabe,SG/SF,MIN,9.9,"$3,600",2.75,13.78,4.5,2.2,0.7,0.4,0.3,0.4,0.8
M. Flynn,Malachi Flynn,PG,MIL,9.7,"$4,100",2.36,11.92,4.8,1.2,1.5,0.5,0.1,0.6,0.9
C. Duarte,Chris Duarte,SG/SF,SAC,8.0,"$3,700",2.16,11.02,4.4,1.4,0.8,0.3,0.1,0.5,0.7
T. Thompson,Tristan Thompson,C/PF,CLE,6.7,"$3,600",1.87,6.05,2.6,1.9,0.5,0.2,0.3,0.4,0.1
W. Matthews,Wesley Matthews,SG,NY,6.1,"$3,500",1.75,9.48,2.6,1.3,0.5,0.3,0.2,0.3,0.5
L. Stevens,Lamar Stevens,PF,BOS,5.4,"$3,500",1.53,8.10,2.4,1.6,0.3,0.2,0.1,0.3,0.2
J. McDaniels,Jalen McDaniels,PF/SF,MIL,5.3,"$3,500",1.51,6.11,2.3,1.1,0.5,0.3,0.1,0.3,0.3
D. Banton,Dalano Banton,PG,BOS,5.2,"$3,500",1.49,5.06,2.3,0.8,0.7,0.2,0.2,0.3,0.2
C. Houstan,Caleb Houstan,SF,ORL,5.0,"$3,500",1.43,8.17,2.4,1.1,0.4,0.2,0.1,0.2,0.5
M. Brown,Moses Brown,C,CLE,5.0,"$3,600",1.39,4.16,2.2,1.7,0.1,0.1,0.2,0.3,0.0
T. Taylor,Terry Taylor,SG/SF,ORL,4.8,"$3,500",1.36,6.05,2.3,1.1,0.3,0.2,0.1,0.2,0.2
O. Brissett,Oshae Brissett,SF,BOS,4.0,"$3,600",1.11,5.06,1.8,1,0.2,0.2,0.1,0.2,0.2
S. Mykhailiuk,Sviatoslav Mykhailiuk,SG,BOS,4.0,"$3,500",1.13,5.06,2.2,0.6,0.5,0.2,0.0,0.3,0.4
J. Hayes,Jaxson Hayes,PF/C,SAC,3.2,"$3,600",0.88,4.09,1.4,0.9,0.2,0.1,0.1,0.2,0.0
M. McBride,Miles McBride,PG,NY,2.9,"$3,500",0.82,4.15,1.5,0.3,0.4,0.2,0.0,0.2,0.2
M. Christie,Max Christie,SG,SAC,2.4,"$3,600",0.67,4.09,1.2,0.6,0.2,0.1,0.0,0.1,0.2
J. Springer,Jaden Springer,PG,BOS,0.1,"$3,500",0.03,0.20,0.1,0,0.0,0.0,0.0,0.0,0.0
S. Curry,Seth Curry,PG/SG,DAL,0.1,"$3,500",0.03,0.22,0.1,0,0.0,0.0,0.0,0.0,0.0
J. Davis,Johnny Davis,SG,DAL,0.1,"$3,500",0.03,0.10,0.1,0,0.0,0.0,0.0,0.0,0.0
R. Rollins,Ryan Rollins,SG,DAL,0.1,"$3,600",0.03,0.10,0.1,0,0.0,0.0,0.0,0.0,0.0
K. Edwards,Kessler Edwards,SF,SAC,0.1,"$3,500",0.03,0.20,0.1,0,0.0,0.0,0.0,0.0,0.0
A. Griffin,AJ Griffin,SF,NY,0.1,"$3,500",0.03,0.19,0.1,0,0.0,0.0,0.0,0.0,0.0
L. Garza,Luka Garza,C,MIN,0.1,"$3,500",0.03,0.09,0.1,0,0.0,0.0,0.0,0.0,0.0
C. Okeke,Chuma Okeke,PF,ORL,0.1,"$3,500",0.03,0.31,0.1,0,0.0,0.0,0.0,0.0,0.0
O. Bitim,Onuralp Bitim,SG,ORL,0.1,"$3,500",0.03,0.20,0.1,0,0.0,0.0,0.0,0.0,0.0
J. Walsh,Jordan Walsh,SF,BOS,0.0,"$3,500",0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0
N. Batum,Nicolas Batum,SF/PF,BOS,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Porzingis,Kristaps Porzingis,PF/C,BOS,0.0,"$7,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Brown,Jaylen Brown,SF/SG,BOS,0.0,"$8,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
F. Korkmaz,Furkan Korkmaz,SF,BOS,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Bamba,Mohamed Bamba,C,BOS,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Martin,Kenyon Martin Jr.,SF/PF,BOS,0.0,"$3,700",0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Davison,JD Davison,PG,BOS,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
P. Mills,Patrick Mills,SG/PG,NY,0.0,"$3,600",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Lundy,Seth Lundy,SF,NY,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Livingston,Chris Livingston,SF,MIL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Barrett,RJ Barrett,SF,NY,0.0,"$6,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Fernando,Bruno Fernando,PF/C,NY,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Mathews,Garrison Mathews,SF,NY,0.0,"$3,500",0,0.11,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Jeffries,DaQuan Jeffries,SF,NY,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Forrest,Trent Forrest,SG,NY,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Sims,Jericho Sims,C,NY,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
E. Fournier,Evan Fournier,SF,NY,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Koloko,Christian Koloko,C,MIL,0.0,"$3,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Green,A.J. Green,SG,MIL,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Lawson,A.J. Lawson,SG,DAL,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Irving,Kyrie Irving,PG/SG,DAL,0.0,"$8,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Muscala,Mike Muscala,C,DAL,0.0,"$3,600",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Holmes,Richaun Holmes,C,DAL,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Kleber,Maxi Kleber,PF/C,DAL,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Gill,Anthony Gill,PF,DAL,0.0,"$3,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
E. Omoruyi,Eugene Omoruyi,SF,DAL,0.0,"$3,600",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
P. Baldwin Jr.,Patrick Baldwin,SF,DAL,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
O. Prosper,Olivier-Maxence Prosper,PF,DAL,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
L. Wigginton,Lindell Wigginton,PG,MIL,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Lopez,Robin Lopez,C,MIL,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Young,Thaddeus Young,PF,MIL,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Fultz,Markelle Fultz,PG,ORL,0.0,"$5,900",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Temple,Garrett Temple,SF,MIL,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Antetokounmpo,Giannis Antetokounmpo,PF,MIL,0.0,"$10,900",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
O. Anunoby,OG Anunoby,SF/SG,MIL,0.0,"$6,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Trent,Gary Trent Jr.,SG,MIL,0.0,"$4,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
D. DeRozan,DeMar DeRozan,SF,ORL,0.0,"$7,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Jones,Damian Jones,C,CLE,0.0,"$3,600",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
