abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
G. Payton II,Gary Payton II,SG,MIN,14.8,"$3,800",3.89,17.22,6.4,3,1.6,0.9,0.2,0.9,0.8
N. Alexander-Walker,Nickeil Alexander-Walker,SG/SF,MIN,14.4,"$4,100",3.5,17.94,6.5,2,2.1,0.7,0.4,1.0,1.1
M. Branham,Malaki Branham,SF/SG,SA,14.3,"$4,400",3.24,19.10,8.0,2.1,1.9,0.5,0.1,0.9,1.0
A. Nembhard,Andrew Nembhard,SG/PG,IND,13.8,"$4,700",2.93,16.88,6.4,1.7,2.9,0.6,0.1,1.1,0.8
J. Green,Josh Green,SG,DAL,13.7,"$4,300",3.19,22.89,6.6,2.6,1.8,0.7,0.1,1.1,1.0
C. Gillespie,Collin Gillespie,PG,LAC,13.7,"$3,700",3.7,15.94,6.9,1.5,2.4,0.7,0.1,1.0,0.8
P. Beverley,Patrick Beverley,PG,IND,13.5,"$3,800",3.56,19.02,4.7,2.7,2.2,0.6,0.4,0.7,0.8
P. Reed,Paul Reed,C,IND,13.4,"$4,100",3.26,12.08,4.4,4.3,0.6,0.5,0.7,0.7,0.1
P. Watson,Peyton Watson,SG,LAC,12.7,"$3,800",3.35,13.91,5.5,2.4,0.9,0.4,0.8,0.6,0.5
K. Love,Kevin Love,PF/C,MIA,12.7,"$3,900",3.26,12.06,5.6,4,1.2,0.2,0.2,0.7,1.0
C. Joseph,Cory Joseph,PG,MIN,12.6,"$3,500",3.61,15.04,5.9,1.4,2.7,0.5,0.1,0.8,0.9
D. Powell,Dwight Powell,C,DAL,12.5,"$4,300",2.91,15.92,5.4,3.4,0.9,0.5,0.3,0.7,0.1
N. Marshall,Naji Marshall,SF,DAL,12.4,"$4,500",2.75,15.05,6.0,2.4,1.6,0.5,0.1,0.7,0.6
F. Korkmaz,Furkan Korkmaz,SF,IND,12.1,"$3,500",3.46,17.17,6.8,2.1,1.2,0.6,0.1,1.1,0.9
J. Wiseman,James Wiseman,C,ATL,12.1,"$3,600",3.35,12.07,5.9,3.6,0.5,0.2,0.4,0.7,0.1
L. Waters,Lindy Waters III,SG,SA,12.0,"$3,500",3.41,14.75,6.5,2,0.9,0.4,0.3,0.4,1.6
M. Moody,Moses Moody,SG,MIN,11.6,"$3,900",2.97,15.20,6.3,2,1.0,0.5,0.2,0.7,1.0
D. House Jr.,Danuel House Jr.,SF,IND,11.5,"$3,600",3.19,17.75,6.0,2.4,1.0,0.4,0.2,0.7,0.8
J. Williams,Jaylin Williams,PF/C,SA,11.4,"$3,900",2.92,12.78,4.5,3.4,1.0,0.4,0.2,0.5,0.7
Z. Nnaji,Zeke Nnaji,PF/C,LAC,11.2,"$3,900",2.87,13.74,5.3,2.8,0.5,0.3,0.5,0.6,0.3
K. Knox,Kevin Knox,SF/PF,ATL,11.2,"$4,100",2.73,13.88,6.2,2.5,0.6,0.4,0.2,0.7,1.0
D. Graham,Devonte' Graham,PG,SA,11.1,"$3,500",3.18,12.67,5.2,1.2,2.2,0.5,0.1,0.6,1.1
S. Fontecchio,Simone Fontecchio,SF,POR,11.0,"$3,700",2.97,14.37,6.4,2,0.8,0.4,0.2,0.8,1.2
J. Bouyea,Jamaree Bouyea,PG,POR,10.6,"$3,600",2.94,11.14,5.2,1.4,1.6,0.5,0.2,0.8,0.6
J. Hardy,Jaden Hardy,SG,DAL,10.5,"$4,000",2.61,11.18,6.5,1.5,1.1,0.3,0.1,0.7,1.1
D. Exum,Dante Exum,PG,DAL,10.2,"$3,700",2.77,9.95,4.6,1.7,1.6,0.4,0.2,0.6,0.6
S. Milton,Shake Milton,PG,MIN,10.2,"$3,900",2.61,13.95,5.0,1.6,1.9,0.3,0.1,0.8,0.5
M. Diabate,Moussa Diabate,PF,LAC,9.5,"$3,700",2.58,11.00,3.7,2.9,0.5,0.3,0.4,0.5,0.2
B. Podziemski,Brandin Podziemski,SG,MIN,9.5,"$3,700",2.56,10.03,4.8,1.9,1.2,0.3,0.1,0.6,0.6
J. Strawther,Julian Strawther,SF,LAC,8.2,"$3,600",2.28,9.89,4.5,1.3,0.7,0.3,0.2,0.4,0.7
J. Robinson-Earl,Jeremiah Robinson-Earl,C/PF,DAL,8.0,"$3,900",2.04,9.03,3.5,2.1,0.5,0.3,0.2,0.3,0.5
T. McConnell,T.J. McConnell,PG,IND,7.8,"$4,800",1.63,7.12,3.2,1.1,1.8,0.3,0.1,0.6,0.1
O. Dieng,Ousmane Dieng,PF/SF,SA,7.8,"$3,600",2.16,9.82,3.6,1.8,0.8,0.3,0.1,0.4,0.5
D. Seabron,Dereon Seabron,SG,DAL,7.6,"$3,600",2.1,9.18,4.0,1.3,0.8,0.3,0.1,0.4,0.5
P. Mills,Patrick Mills,SG/PG,ATL,7.5,"$3,500",2.15,9.01,4.3,0.7,1.2,0.3,0.1,0.6,0.8
D. Roddy,David Roddy,SF/PF,MEM,7.5,"$3,900",1.93,10.62,3.9,1.7,0.6,0.3,0.1,0.5,0.5
Z. Williams,Ziaire Williams,SF,MEM,7.4,"$4,300",1.72,10.10,3.7,1.7,0.7,0.3,0.1,0.6,0.5
W. Matthews,Wesley Matthews,SG,ATL,6.3,"$3,500",1.8,9.46,2.8,1.3,0.5,0.3,0.2,0.3,0.5
K. Dunn,Kris Dunn,PG/SG,POR,6.1,"$3,700",1.64,5.23,2.6,1,1.1,0.2,0.1,0.3,0.2
J. Hayes,Jaxson Hayes,PF/C,MEM,5.6,"$3,600",1.56,7.14,2.4,1.5,0.4,0.2,0.2,0.4,0.1
M. Brown,Moses Brown,C,POR,5.4,"$3,600",1.49,4.16,2.2,1.8,0.2,0.1,0.2,0.2,0.0
N. Hyland,Nah'Shon Hyland,PG,LAC,5.1,"$4,300",1.19,5.00,2.6,0.6,0.8,0.2,0.1,0.3,0.5
