Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Davion Mitchell (31025213),Davion Mitchell,31025213,PG/SG/G/UTIL,4200,SAC@LAL 11/15/2023 10:00PM ET,SAC,13.91
PF,Chris Boucher (31025220),Chris Boucher,31025220,PF/F/UTIL,4100,MIL@TOR 11/15/2023 07:30PM ET,TOR,15.88
SF,Josh Okogie (31025223),Josh Okogie,31025223,SF/F/UTIL,4100,MIN@PHX 11/15/2023 09:00PM ET,PHX,16.12
SF/PF,Otto Porter Jr. (31025241),Otto Porter Jr.,31025241,SF/PF/F/UTIL,4000,MIL@TOR 11/15/2023 07:30PM ET,TOR,10.7
SG/SF,Corey Kispert (31025232),Corey Kispert,31025232,SG/SF/F/G/UTIL,4000,DAL@WAS 11/15/2023 07:00PM ET,WAS,16.47
SF/PF,Josh Green (31025250),Josh Green,31025250,SF/PF/F/UTIL,4000,DAL@WAS 11/15/2023 07:00PM ET,DAL,16.55
SF,Matisse Thybulle (31025229),Matisse Thybulle,31025229,SF/F/UTIL,4000,CLE@POR 11/15/2023 10:00PM ET,POR,13.36
PG/SG,Gabe Vincent (31025237),Gabe Vincent,31025237,PG/SG/G/UTIL,4000,SAC@LAL 11/15/2023 10:00PM ET,LAL,14.62
PF,Torrey Craig (31025226),Torrey Craig,31025226,PF/F/UTIL,4000,ORL@CHI 11/15/2023 08:00PM ET,CHI,16.7
SG/SF,Ayo Dosunmu (31025245),Ayo Dosunmu,31025245,SG/SF/F/G/UTIL,4000,ORL@CHI 11/15/2023 08:00PM ET,CHI,10.92
SF/PF,Georges Niang (31025254),Georges Niang,31025254,SF/PF/F/UTIL,3900,CLE@POR 11/15/2023 10:00PM ET,CLE,13.2
PG/SG,Nickeil Alexander-Walker (31025264),Nickeil Alexander-Walker,31025264,PG/SG/G/UTIL,3900,MIN@PHX 11/15/2023 09:00PM ET,MIN,14.94
PG/SG,Patrick Beverley (31025268),Patrick Beverley,31025268,PG/SG/G/UTIL,3900,BOS@PHI 11/15/2023 07:30PM ET,PHI,11.58
PG,Keon Ellis (31025261),Keon Ellis,31025261,PG/G/UTIL,3900,SAC@LAL 11/15/2023 10:00PM ET,SAC,11.17
PF,Patrick Williams (31025258),Patrick Williams,31025258,PF/F/UTIL,3900,ORL@CHI 11/15/2023 08:00PM ET,CHI,15.64
SF/PF,Pat Connaughton (31025276),Pat Connaughton,31025276,SF/PF/F/UTIL,3800,MIL@TOR 11/15/2023 07:30PM ET,MIL,13.85
SF/PF,Toumani Camara (31025272),Toumani Camara,31025272,SF/PF/F/UTIL,3800,CLE@POR 11/15/2023 10:00PM ET,POR,15.83
PG/SG,Shake Milton (31025285),Shake Milton,31025285,PG/SG/G/UTIL,3800,MIN@PHX 11/15/2023 09:00PM ET,MIN,10.03
SG/SF,Anthony Black (31025280),Anthony Black,31025280,SG/SF/F/G/UTIL,3800,ORL@CHI 11/15/2023 08:00PM ET,ORL,13.39
PF,Danilo Gallinari (31025293),Danilo Gallinari,31025293,PF/F/UTIL,3700,DAL@WAS 11/15/2023 07:00PM ET,WAS,15.33
PG,Dante Exum (31025298),Dante Exum,31025298,PG/G/UTIL,3700,DAL@WAS 11/15/2023 07:00PM ET,DAL,8.39
