Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Mo Bamba (31025578),Mo Bamba,31025578,C/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,3
PG,Javonte Smart (31025580),Javonte Smart,31025580,PG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,0
PG,Terquavion Smith (31025583),Terquavion Smith,31025583,PG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,0
SF/PF,KJ Martin (31025586),KJ Martin,31025586,SF/PF/F/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,4.6
SF/PF,Marcus Morris Sr. (31025590),Marcus Morris Sr.,31025590,SF/PF/F/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,3.75
SG/SF,Lamar Stevens (31025733),Lamar Stevens,31025733,SG/SF/F/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,6.42
SG,Svi Mykhailiuk (31025738),Svi Mykhailiuk,31025738,SG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,3.2
C,Nathan Knight (31025741),Nathan Knight,31025741,C/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,0
SF,Jordan Walsh (31025743),Jordan Walsh,31025743,SF/F/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,0
PG,JD Davison (31025746),JD Davison,31025746,PG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,0
PG,Dalano Banton (31025749),Dalano Banton,31025749,PG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,6.25
C,Neemias Queta (31025752),Neemias Queta,31025752,C/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,BOS,0
SF,Alex Fudge (31025480),Alex Fudge,31025480,SF/F/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,LAL,0
SG,D'Moi Hodge (31025483),D'Moi Hodge,31025483,SG/G/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,LAL,3
PG,Jalen Hood-Schifino (31025486),Jalen Hood-Schifino,31025486,PG/G/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,LAL,0
SF/PF,Kessler Edwards (31025611),Kessler Edwards,31025611,SF/PF/F/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,SAC,2.68
C,JaVale McGee (31025615),JaVale McGee,31025615,C/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,SAC,12.43
SF,Jalen Slawson (31025617),Jalen Slawson,31025617,SF/F/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,SAC,0
C,Filip Petrusev (31025620),Filip Petrusev,31025620,C/UTIL,3000,SAC@LAL 11/15/2023 10:00PM ET,SAC,1.25
C,Adama Sanogo (31025459),Adama Sanogo,31025459,C/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,0
SG,Onuralp Bitim (31025461),Onuralp Bitim,31025461,SG/G/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,0
SF,Julian Phillips (31025464),Julian Phillips,31025464,SF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,0.31
PF/C,Terry Taylor (31025467),Terry Taylor,31025467,PF/C/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,1.08
PF,Justin Lewis (31025471),Justin Lewis,31025471,PF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,0
SF,Dalen Terry (31025474),Dalen Terry,31025474,SF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,4.12
PG,Lonzo Ball (31025477),Lonzo Ball,31025477,PG/G/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,CHI,0
PF/C,Chuma Okeke (31025594),Chuma Okeke,31025594,PF/C/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,ORL,2.62
SF,Jett Howard (31025598),Jett Howard,31025598,SF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,ORL,2
SF/PF,Caleb Houstan (31025601),Caleb Houstan,31025601,SF/PF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,ORL,4.69
SF,Admiral Schofield (31025605),Admiral Schofield,31025605,SF/F/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,ORL,5.5
SG,Kevon Harris (31025608),Kevon Harris,31025608,SG/G/UTIL,3000,ORL@CHI 11/15/2023 08:00PM ET,ORL,0
