draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
64322,21453505,Mike,Conley,Mike Conley,M. Conley,329468,33389,PG,458,6200,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33389.png,https://dkn.gs/sports/images/nba/players/160/33389.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,29.1,29.1,-2,1st,1,Low,100,true,26,UTA,329468-5774727
64322,21453508,Wayne,Ellington,Wayne Ellington,W. Ellington,329670,33230,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33230.png,https://dkn.gs/sports/images/nba/players/160/33230.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,11.3,11.3,-2,12th,12,Medium,,,13,LAL,329670-5774451
64322,21453511,Russell,Westbrook,Russell Westbrook,R. Westbrook,329830,33068,PG,458,8500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33068.png,https://dkn.gs/sports/images/nba/players/160/33068.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,41.5,41.5,-2,26th,26,High,,,13,LAL,329830-5774451
64322,21453514,JaVale,McGee,JaVale McGee,J. McGee,333212,33118,C,462,4300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33118.png,https://dkn.gs/sports/images/nba/players/160/33118.png,"","",5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,5777619,NOP @ PHX,NOP,TRUE, @ ,PHX,2022-02-26T02:00:00.0000000Z,219,21.8,21.8,-2,23rd,23,High,,,21,PHX,333212-5777619
64322,21453516,DeAndre,Jordan,DeAndre Jordan,D. Jordan,398142,32899,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32899.png,https://dkn.gs/sports/images/nba/players/160/32899.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,13.6,13.6,-2,20th,20,Medium,,,13,LAL,398142-5774451
64322,21453518,Kent,Bazemore,Kent Bazemore,K. Bazemore,410764,33323,SG/SF,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33323.png,https://dkn.gs/sports/images/nba/players/160/33323.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,9.1,9.1,-2,12th,12,Medium,,,13,LAL,410764-5774451
64322,21453523,Nicolas,Batum,Nicolas Batum,N. Batum,456451,32930,PF/C,461,4100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32930.png,https://dkn.gs/sports/images/nba/players/160/32930.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,20.8,20.8,-2,13th,13,Medium,,,12,LAC,456451-5774451
64322,21453527,Isaiah,Thomas,Isaiah Thomas,I. Thomas,457605,32869,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32869.png,https://dkn.gs/sports/images/nba/players/160/32869.png,"","",5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,5774727,DAL @ UTA,DAL,TRUE, @ ,UTA,2022-02-26T02:00:00.0000000Z,219,14.4,14.4,-2,11th,11,Medium,,,6,DAL,457605-5774727
64322,21453530,Reggie,Jackson,Reggie Jackson,R. Jackson,462444,33034,PG,458,7600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33034.png,https://dkn.gs/sports/images/nba/players/160/33034.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,29.7,29.7,-2,29th,29,High,,,12,LAC,462444-5774451
64322,21453533,Marcus,Morris Sr.,Marcus Morris Sr.,M. Morris Sr.,469089,33231,SF/PF,460,6400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33231.png,https://dkn.gs/sports/images/nba/players/160/33231.png,"","",5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,5774451,LAC @ LAL,LAC,TRUE, @ ,LAL,2022-02-26T03:00:00.0000000Z,219,27.6,27.6,-2,25th,25,High,,,12,LAC,469089-5774451
