draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority,missingCompetitionText
63631,21292239,Solomon,Hill,Solomon Hill,S. Hill,509169,33135,SF,460,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33135.png,https://dkn.gs/sports/images/nba/players/160/33135.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,5.2,5.2,-2,1st,1,Low,,,18,NYK,509169-5773137,,,,,
63631,21291158,John,Wall,John Wall,J. Wall,509456,32864,PG,458,7900,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32864.png,https://dkn.gs/sports/images/nba/players/160/32864.png,"","",5773347,TOR @ HOU,TOR,TRUE, @ ,HOU,2022-02-11T01:00:00.0000000Z,5773347,TOR @ HOU,TOR,TRUE, @ ,HOU,2022-02-11T01:00:00.0000000Z,-2,3rd,3,219,-,"",Low,,,10,HOU,509456-5773347,,,,,
63631,21291167,Khris,Middleton,Khris Middleton,K. Middleton,512053,33177,SF,460,7600,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33177.png,https://dkn.gs/sports/images/nba/players/160/33177.png,"","",5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,219,37.2,37.2,-2,3rd,3,Low,,,15,MIL,512053-5777595,,,,,
63631,21291113,Kawhi,Leonard,Kawhi Leonard,K. Leonard,512591,33102,PF,461,9900,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33102.png,https://dkn.gs/sports/images/nba/players/160/33102.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,-2,9th,9,219,-,"",Low,,,12,LAC,512591-5772753,,,,,
63631,21291348,Alec,Burks,Alec Burks,A. Burks,512995,33051,PG/SF,458,4800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33051.png,https://dkn.gs/sports/images/nba/players/160/33051.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,23.4,23.4,-2,1st,1,Low,,,18,NYK,512995-5773137,,,,,
63631,21291479,Kelly,Olynyk,Kelly Olynyk,K. Olynyk,514882,33158,PF/C,461,3700,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33158.png,https://dkn.gs/sports/images/nba/players/160/33158.png,"","",5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,219,23.3,23.3,-2,14th,14,Medium,,,8,DET,514882-5772459,,,,,
63631,21291149,CJ,McCollum,CJ McCollum,C. McCollum,522878,33324,PG/SG,458,8200,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33324.png,https://dkn.gs/sports/images/nba/players/160/33324.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,219,36.4,36.4,-2,21st,21,Medium,,,3,NOP,522878-5776635,,,,,
63631,21291966,David,Stockton,David Stockton,D. Stockton,524952,69878,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/69878.png,https://dkn.gs/sports/images/nba/players/160/69878.png,"","",5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,-2,23rd,23,219,-,"",High,,,29,MEM,524952-5772459,,,,,
63631,21291306,Robert,Covington,Robert Covington,R. Covington,525052,33190,PF/C,461,5000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33190.png,https://dkn.gs/sports/images/nba/players/160/33190.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,22.9,22.9,-2,9th,9,Low,,,12,LAC,525052-5772753,,,,,
63631,21291445,Joe,Harris,Joe Harris,J. Harris,549969,32903,SF,460,3900,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/32903.png,https://dkn.gs/sports/images/nba/players/160/32903.png,"","",5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,219,20.1,20.1,-2,5th,5,Low,,,17,BKN,549969-5773365,,,,,
